session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected
gAAAAABnydXBFRq2yhkYhHhkX39TK7KhpRtUdPJjgHG9fkH-SO-Q4DUgwDwefaImFpvCPNxP1h-cnE1ow-ZwF-XfQmrDYKKJJg==,599,TCP,4,492.9832634426563,DES,0.606818080396889,1,Edge,0,1
gAAAAABnydXB84QW1u61HUe6gy7BRbfjXagv-gP27yGbsg68pnS5bn3-GQOZnIkr4VzmhGHHPi2wqUlsYOjFANG0QP1WuDGYsQ==,472,TCP,3,1557.9964611204384,DES,0.3015689675960893,0,Firefox,0,0
gAAAAABnydXB-dHI6SyFzonYAOLuBQCL9Les7nZgvs09kfU4oTQg4_XinDD8DZF0YX0COZ1DYhUkPCfQ1-NylnPkUMhWORo1mw==,629,TCP,3,75.04426166420741,DES,0.7391643279163831,2,Chrome,0,1
gAAAAABnydXBaC6ADMI4l5pR65Q5ba5-dTVO_UlMMR68o9I5ac77fuIxGoGHV5OkYsZXF0l8F5D57OVPFe8-f9h7xhbeqdyA1A==,804,UDP,4,601.2488351708328,DES,0.1232671757524846,0,Unknown,0,1
gAAAAABnydXBMu_lL-f9XGRVBF2m0pysdfB82vsy_li3OYaK9TCzar4L2lRo9w13IwcYSM8SJzas4c5mk0pmXuvHRtrJlS4PFQ==,453,TCP,5,532.5408884201419,AES,0.0548738567431703,1,Firefox,0,0
gAAAAABnydXBEcqjMV3PBW64CtdzsSdVFAHiz4akw7IHLuvL9HYXsnqDQkvFGy-oGrgPB_zFutA3FyOKbRbCW-cWvEJG39jYfw==,453,UDP,5,380.4715502453134,AES,0.4224858607066699,2,Chrome,1,0
gAAAAABnydXBZnD_PpVCwE8HC-7wKaj-nJnVhwquwsEUyzceje--1AORGnV12s4Xykzc3Tf0yQ-w3eaV0BTGyZRBeXdPAVsHfA==,815,ICMP,4,728.1071646972356,AES,0.4137719285892984,1,Chrome,0,1
gAAAAABnydXBCUtLxL598Z-FZWqtIG0sMmGmYFj4U8oPeEOOXkoxFARCVCDqJtSFjBjU9VT37quE6sup11eMSLyBzFlDXAbB0g==,653,TCP,3,12.5999060098958,DES,0.0977193658576949,3,Chrome,1,1
gAAAAABnydXBEe6slbzoWrHyrvltFoXR4kdfrcHw3eEuapj1_nT8VB1PpSUBfh9HnkXdemBhwVf_Tg-bOA9NrZGNzlm3ZXPiNg==,406,TCP,2,542.5588952208974,,0.2945796876500889,0,Chrome,1,0
gAAAAABnydXBqp7CBMiEXSkH0RazYkSjeb8PihRNgVnvvhiNwu96dgsbvQ2uC6gj7PaFT81zE1rB9L7bnWYagm7zEfrw_37EdA==,608,UDP,6,531.9441066211396,,0.4241165641663546,1,Chrome,0,0
gAAAAABnydXBEA7Wa_5QFPr4Fvva8V2qxG0XU3GsTLFxQsOwxYOIBGFKMSbgYkMASC8pn0URWZ8QYOfvZfpmnpyGNZh0oXQp-A==,407,UDP,6,580.7219253670751,DES,0.1228937389064628,3,Firefox,0,1
gAAAAABnydXByEgD7j61WgC0saSKINTWDAdqY_xQj5YHP_9IsOED7lOOxkF3fxpzZ3W5roIAA0Q3des959JvVVTJ-jSt7D8npg==,406,UDP,9,191.0528369326706,DES,0.3397112713433893,1,Edge,0,1
gAAAAABnydXBeRp9LtRnyzdaRt5Ffcl6A-t3LdQvEaDQ8PQrbLQWyI44-oI-sHL9FAyNcLtH_qPs3uqvtDHGfNpetv_F3jx0Dw==,548,TCP,2,186.1476383415076,,0.4068986326067099,2,Safari,1,0
